"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-02-28","N/A","N/A","3688149","N/A","N/A"
"2021-03-07","341731","5519483","3667044","16.15","0.66"
"2021-03-14","342648","5563206","3539327","16.24","0.64"
"2021-03-21","343432","5631245","3385030","16.40","0.60"
"2021-03-28","344217","5690049","3450129","16.53","0.61"
"2021-04-04","345533","5767324","3403880","16.69","0.59"
"2021-04-11","346600","5816404","3179968","16.78","0.55"
"2021-04-18","347560","5793684","3192734","16.67","0.55"
"2021-04-25","348843","5766523","3187729","16.53","0.55"
"2021-05-02","350415","5775834","3077995","16.48","0.53"
"2021-05-09","351770","5772986","3383918","16.41","0.59"
"2021-05-16","352981","5831460","3515942","16.52","0.60"
"2021-05-23","354020","5894255","4053883","16.65","0.69"
"2021-05-30","355101","5949681","4107366","16.75","0.69"
"2021-06-06","356090","6070813","4180714","17.05","0.69"
"2021-06-13","356992","6072263","3844833","17.01","0.63"
"2021-06-20","357832","6004757","3721950","16.78","0.62"
"2021-06-27","359370","5942872","3052520","16.54","0.51"
"2021-07-04","360738","5853362","1689649","16.23","0.29"
"2021-07-11","361783","5813836","1638935","16.07","0.28"
"2021-07-18","363024","5795573","1870304","15.96","0.32"
"2021-07-25","364015","5786587","1723657","15.90","0.30"
"2021-08-01","364813","5704047","1525900","15.64","0.27"
"2021-08-08","365714","5582336","1763094","15.26","0.32"
"2021-08-15","366812","5453224","1643127","14.87","0.30"
"2021-08-22","367695","5301765","1487350","14.42","0.28"
"2021-08-29","368805","5179985","1716419","14.05","0.33"
"2021-09-05","369648","5069325","1443153","13.71","0.28"
"2021-09-12","371008","4976118","1423652","13.41","0.29"
"2021-09-19","371882","4905048","1353911","13.19","0.28"
"2021-09-26","372812","4810607","1474295","12.90","0.31"
"2021-10-03","373614","4757717","745049","12.73","0.16"
"2021-10-10","374565","4705943","1995315","12.56","0.42"
"2021-10-17","375221","4616240","1329213","12.30","0.29"
"2021-10-24","376000","4517510","1355657","12.01","0.30"
"2021-10-31","376876","4449192","1315811","11.81","0.30"
"2021-11-07","377759","4388661","1394141","11.62","0.32"
"2021-11-14","378586","4396842","1397306","11.61","0.32"
"2021-11-21","379608","4402686","1216693","11.60","0.28"
"2021-11-28","380200","4361609","1244865","11.47","0.29"
"2021-12-05","381232","4356689","1299479","11.43","0.30"
"2021-12-12","382085","4267525","1199785","11.17","0.28"
"2021-12-19","382649","4183351","1151414","10.93","0.28"
"2021-12-26","383353","4066199","1006341","10.61","0.25"
"2022-01-02","383927","4036661","1069725","10.51","0.27"
"2022-01-09","384805","3992777","1009148","10.38","0.25"
"2022-01-16","385529","3993047","465310","10.36","0.12"
"2022-01-23","386178","4113441","2077182","10.65","0.51"
"2022-01-30","387004","4127639","1178523","10.67","0.29"
"2022-02-06","387727","4182595","1152285","10.79","0.28"
"2022-02-13","388365","4279715","1011407","11.02","0.24"
"2022-02-20","389132","4379892","1251512","11.26","0.29"
"2022-02-27","389961","4417847","1243127","11.33","0.28"
"2022-03-06","390695","4413532","3470351","11.30","0.79"
"2022-03-13","391487","4385970","3410415","11.20","0.78"
"2022-03-20","392230","4258664","3212050","10.86","0.75"
"2022-03-27","392977","4160742","3420617","10.59","0.82"
"2022-04-03","393631","4076835","3098743","10.36","0.76"
"2022-04-10","394319","3984743","2766115","10.11","0.69"
"2022-04-17","395254","3993723","3604605","10.10","0.90"
"2022-04-24","396013","3934252","3198654","9.93","0.81"
"2022-05-01","396590","3954687","3538464","9.97","0.89"
"2022-05-08","397173","3954340","3396415","9.96","0.86"
"2022-05-15","397829","3953125","3426736","9.94","0.87"
"2022-05-22","398489","3958561","3534906","9.93","0.89"
"2022-05-29","399172","3930636","3494127","9.85","0.89"
"2022-06-05","399836","3914165","3212449","9.79","0.82"
"2022-06-12","400438","3850436","3088385","9.62","0.80"
"2022-06-19","401036","3821649","3226596","9.53","0.84"
"2022-06-26","401613","3801937","3091600","9.47","0.81"
"2022-07-03","402393","3819470","3014525","9.49","0.79"
"2022-07-10","402775","3841506","3142341","9.54","0.82"
"2022-07-17","403659","3859164","3223778","9.56","0.84"
"2022-07-24","404206","3863377","3169566","9.56","0.82"
"2022-07-31","404858","3828676","3009182","9.46","0.79"
"2022-08-07","405546","3810383","3009276","9.40","0.79"
"2022-08-14","406171","3789987","3052507","9.33","0.81"
"2022-08-21","406817","3736921","2631471","9.19","0.70"
"2022-08-28","407458","3677936","3127665","9.03","0.85"
"2022-09-04","403656","3686782","2743628","9.13","0.74"
"2022-09-11","404311","3748492","3232775","9.27","0.86"
"2022-09-18","404827","3785098","3121408","9.35","0.82"
"2022-09-25","405440","3827174","2547879","9.44","0.67"
"2022-10-02","406009","3785541","2899879","9.32","0.77"
"2022-10-09","406539","3675836","2823992","9.04","0.77"
"2022-10-16","407296","3626721","2864790","8.90","0.79"
"2022-10-23","407947","3611579","2832424","8.85","0.78"
"2022-10-30","408718","3652293","3073245","8.94","0.84"
"2022-11-06","409414","3695330","2973239","9.03","0.80"
"2022-11-13","410184","3735193","3024874","9.11","0.81"
"2022-11-20","410861","3714571","3012378","9.04","0.81"
"2022-11-27","411486","3629458","2833055","8.82","0.78"
"2022-12-04","412985","3577953","2891922","8.66","0.81"
"2022-12-11","413923","3463853","2794880","8.37","0.81"
"2022-12-18","414638","3395073","2700094","8.19","0.80"
"2022-12-25","415226","3351581","2428385","8.07","0.72"
"2023-01-01","415799","3318903","2824301","7.98","0.85"
"2023-01-08","416472","3346874","2446443","8.04","0.73"
"2023-01-15","417125","3391690","2721150","8.13","0.80"
"2023-01-22","417738","3413191","2665044","8.17","0.78"
"2023-01-29","418426","3449775","2738889","8.24","0.79"
"2023-02-05","419125","3520155","2958897","8.40","0.84"
"2023-02-12","419795","3542788","2872555","8.44","0.81"
